month,level_1,level_2,value
1965-07,All Items,Household Durables And Services,33.324
1965-07,All Items,Health Care,19.863
1965-07,All Items,Transport,20.389
1965-07,All Items,Communication,131.831
1965-07,All Items,Recreation & Culture,51.022
1965-07,All Items,Education,17.609
1965-07,All Items,Miscellaneous Goods & Services,19.163
1965-08,All Items,Food,25.18
1965-08,All Items,Food Excl Food Servicing Services,na
1965-08,All Items,Food Servicing Services,na
1965-08,All Items,Clothing & Footwear,54.289
1965-08,All Items,Housing & Utilities,24.521
1965-08,All Items,Household Durables And Services,33.324
1965-08,All Items,Health Care,19.863
1965-08,All Items,Transport,20.389
1965-08,All Items,Communication,131.831
1965-08,All Items,Recreation & Culture,51.022
1965-08,All Items,Education,17.609
1965-08,All Items,Miscellaneous Goods & Services,19.171
1965-09,All Items,Food,25.336
1965-09,All Items,Food Excl Food Servicing Services,na
1965-09,All Items,Food Servicing Services,na
1965-09,All Items,Clothing & Footwear,54.338
1965-09,All Items,Housing & Utilities,24.444
1965-09,All Items,Household Durables And Services,33.437
1965-09,All Items,Health Care,19.863
1965-09,All Items,Transport,20.389
1965-09,All Items,Communication,131.831
1965-09,All Items,Recreation & Culture,51.022
1965-09,All Items,Education,17.609
